NbResponse,Min,Max,Mean,Median
1,1.567256,34.049418,8.289964,1.77365
2,1.504677,4.177453,2.579947,2.290076
3,2.235437,7.02494,3.752993,2.911743
4,1.674509,30.968837,5.013474,3.382464
5,1.778798,9.631957,4.205427,3.838592
10,1.28499,12.266288,6.546506,6.129153
15,4.451013,25.097675,10.380233,9.698031
20,2.425355,28.558306,12.073265,11.679919
30,6.645878,2815.990732,291.422373,17.218359
40,3.495124,5412.744278,324.565319,20.547652
50,7.116869,3732.392652,775.634935,29.931303
75,25.959836,4880.218336,1979.059488,64.347574
100,6.182547,6450.87145,2212.710296,62.678875
150,2.120782,15000.557902,3322.893482,3049.530443
200,9.287603,10751.51617,3679.044442,2742.390811